NIR_iPPG,SPG
0.00015830799552770416,-0.0003544607746126785
0.00010639315158820437,-0.0010521670564677117
5.5326327349747114e-05,-0.0017304841448425167
5.107522812332398e-06,-0.0023894120397370934
-4.4263262024039814e-05,-0.003028950741151442
-9.278602715936951e-05,-0.003649100249085562
-0.00014046077259365623,-0.0042498605635394385
-0.00017939529904888483,-0.00485128093564578
-0.00021875485499837758,-0.005428411203510968
-0.0002610400533608003,-0.005975921112192702
-0.0003089898920900594,-0.006488474366770006
-0.00036547923089976517,-0.006960840192342409
-0.0004333991291391219,-0.007388024427704239
-0.0005155243454566317,-0.007765415915270079
-0.0006143731201706239,-0.008088942081543907
-0.0007320650244567934,-0.008355226358630289
-0.000870183243756,-0.00856173936561911
-0.0010296481976779,-0.008706935363647408
-0.0012106097895964426,-0.008790365356090844
-0.0014123656082752614,-0.008812758470650339
-0.0016333118434334526,-0.008776064178925291
-0.0018709324188632796,-0.008683449595787655
-0.0021218299543324763,-0.008539248397940319
-0.0023817998335332047,-0.008348860507065316
-0.0026459460983498523,-0.008118604393446933
-0.0029088352727835707,-0.007855526584611907
-0.003164681677116618,-0.007567175562744616
-0.0034075555283534864,-0.007261349420761995
-0.003631603418754034,-0.0069458281349153266
-0.0038312698489976413,-0.006628102018701718
-0.004001508423934331,-0.006315108059782569
-0.004137972000619782,-0.006012985775178525
-0.004237172362910469,-0.005726864166790187
-0.00429660177719669,-0.005460691155409264
-0.004314811011963784,-0.005217116036286618
-0.004291441026845406,-0.004997433568563449
-0.004227208411534691,-0.004801595136737205
-0.004123847527528049,-0.004628288197644289
-0.003984014875370423,-0.004475080350318172
-0.0038111632209496056,-0.004338619368487081
-0.0036093943029915886,-0.004214876034090684
-0.0033832994216814183,-0.004099413207443602
-0.003137796830107672,-0.0039876627390932895
-0.002877973630680854,-0.0038751918469284276
-0.002608937956486206,-0.0037579424815700124
-0.002335684899545238,-0.003632430723463868
-0.0020629773716899914,-0.003495897846021179
-0.0017952413128299615,-0.003346409613150373
-0.0015364737649264926,-0.003182904951805965
-0.001290162462307869,-0.0030051988173510156
-0.0010592166060933764,-0.002813946503002693
-0.0008459099922223323,-0.0026105776510199122
-0.0006518391507269358,-0.002397207851373988
-0.0004779001695175745,-0.002176534324011904
-0.0003242880629857346,-0.0019517203768196546
-0.0001905217112339181,-0.001726271729826048
-7.549558159512415e-05,-0.00150390680493355
2.2443053142081913e-05,-0.0012884228295157514
0.00010539537473431369,-0.0010835600074543318
0.00017579704222075047,-0.0008928668802202853
0.00023629668577991177,-0.0007195711059304903
0.0002896348449994388,-0.0005664609244350393
0.00033853049149463923,-0.0004357831035575415
0.00038558066334526967,-0.00032916272983445115
0.00043317672405462915,-0.00024754870362473486
0.0004834386468783601,-0.0001911865413380782
0.0005381667794048067,-0.0001596175587861753
0.0005988090509161609,-0.0001517010967317616
0.0006664408096599308,-0.00016565447439089335
0.0007417545022634486,-0.00019910420307149378
0.0008250570400092155,-0.00024914204565030466
0.0009162735492675218,-0.0003123809568805014
0.0010149569007059118,-0.00038500864615148355
0.001120302767440733,-0.0004628399445473717
0.0012311700115923943,-0.0005413724534508177
0.001346106087226861,-0.0006158521540461056
0.001463376995391631,-0.0006813561662169134
0.0015810012016102058,-0.0007328985775130818
0.0016967869115624202,-0.0007655625235896313
0.0018083723244849592,-0.0007746580383051294
0.0019132690262966328,-0.0007559012894134376
0.002008909447917533,-0.0007056073395091436
0.0020927000060684594,-0.0006208860167317059
0.0021620818102458033,-0.0004998291283378332
0.002214600412654275,-0.00034167715732323823
0.0022479849547855334,-0.0001469545125739647
0.002260235413736402,8.243610592452903e-05
0.002249714832987194,0.00034316799727405144
0.00221524181688523,0.0006304993835141023
0.0021561774431754794,0.0009383408726144067
0.002072500243071566,0.0012593829557672048
0.0019648630811990677,0.0015852824368977783
0.0018346266387037776,0.0019069041242273253
0.0016838656268686916,0.002214611683925674
0.0015153455395102546,0.002498599229359009
0.0013324693431028961,0.0027492529024890733
0.0011391947939171795,0.0029575293399839633
0.0009399241008890744,0.0031153355548486365
0.0007393686338756623,0.003215892630367548
0.0005423924738152733,0.0032540641265552967
0.0003538397789633389,0.0032266297317322867
0.00017835203730882354,0.0031324859075637815
2.0182180890259658e-05,0.0029727583859116102
-0.00011698673686011727,0.0027508163802435785
-0.00023021002930899545,0.0024721848159455456
-0.00031742842817642186,0.0021443579293752937
-0.0003775851884270442,0.001776524318282449
-0.00041070539118919554,0.001379219178785661
-0.0004179307795115181,0.0009639234598389687
-0.00040150503059877105,0.0005426316551842413
-0.0003647062127793297,0.00012740993890069164
-0.0003117253983429484,-0.0002700353068973808
-0.00024749325231007235,-0.0006387613166106916
-0.0001774600164959157,-0.0009689512866787349
-0.00010733839737001348,-0.0012522249555912176
-4.2822803073072605e-05,-0.0014818903260741321
1.0698571179645705e-05,-0.0016531320194244912
4.8420647953797944e-05,-0.0017631337302245371
6.6369135538812e-05,-0.0018111337545871065
6.160226569208728e-05,-0.0017984136889357865
3.2352948497502556e-05,-0.0017282211908132036
-2.1897947638357898e-05,-0.0016056282933053024
-0.00010042116984424534,-0.0014373274746251497
-0.0002013098330330162,-0.0012313689128997315
-0.0003216144211914268,-0.0009968444402066164
-0.0004575308527628353,-0.0007435267258140204
-0.0006046274082813555,-0.00048147586575827327
-0.0007580944795952803,-0.00022062921770407793
-0.0009130003292334031,2.9606695305613562e-05
-0.001064536357627367,0.0002607416237744422
-0.0012082368390634657,0.00046554358597344827
-0.0013401606696120869,0.0006383182015764748
-0.0014570261488872612,0.0007751095501114635
-0.0015562938425292489,0.0008738117777302747
-0.0016361967650852347,0.0009341867922773306
-0.0016957211259346616,0.0009577896905536452
-0.0017345443806101183,0.0009478090963737774
-0.0017529400856573043,0.0009088337357402714
-0.0017516608982871816,0.000846559308624738
-0.001731811860981918,0.0007674514543688527
-0.0016947257889459303,0.0006783818053270455
-0.0016418511873351413,0.0005862549847336484
-0.0015746608656625346,0.0004976448906358929
-0.0014945865744353587,0.00041845858253439987
-0.0014029818734233239,0.0003536453991847788
-0.0013011123434026604,0.00030696738664008676
-0.001190169425719786,0.00028084441898907513
-0.0010713018644417545,0.000276283261097274
-0.000945657217397495,0.0002928942029072091
-0.0008144254287071966,0.00032899221388743056
-0.0006788770181942983,0.0003817727074310551
-0.0005403897553655996,0.00044754599373853
-0.0004004593594944916,0.0005220101720017703
-0.0002606915608318585,0.000600540120323985
-0.00012277472990617925,0.0006784706668113054
1.1565759760437264e-05,0.0007513548944944801
0.00014062834379218803,0.0008151833263513176
0.0002628065329565031,0.000866555586275975
0.0003766648304429148,0.0009028020598549394
0.0004810130342599036,0.0009220581868883765
0.0005749727287730182,0.0009232975968955496
0.0006580303075717148,0.0009063319864531567
0.0007300719228269177,0.0008717855703897491
0.0007913973784757693,0.0008210506761813798
0.0008427120465835943,0.0007562292684844496
0.0008850980158714029,0.0006800634378707208
0.0009199674328386127,0.0005958565054532328
0.0009490021081335908,0.0005073854966006844
0.0009740839634093524,0.00041880525713353946
0.0009972209702007102,0.0003345443058501407
0.0010204729998022927,0.00025919255001717557
0.0010458814434306301,0.00019738118218977368
0.0010754055458132598,0.0001536554077419624
0.0011108672243906016,0.00013234115689702119
0.001153904946028235,0.00013740769388095647
0.0012059362208541257,0.00017232909306477427
0.001268127538659043,0.00023994880170765908
0.0013413700771311625,0.00034235268443928984
0.0014262591963574492,0.00048075673989347693
0.001523075644029729,0.0006554158878823822
0.0016317666741504846,0.000865559758352141
0.0017519260619399128,0.0011093602156257236
0.0018827732661637266,0.0013839334272239428
0.0020231335138863843,0.0016853769021364976
0.002171421981792012,0.0020088396245008353
0.0023256361838199183,0.0023486216832143115
0.0024833609715815045,0.0026982988043325992
0.0026417901801479233,0.0030508668596029645
0.0027977679525663167,0.003398901666630894
0.002947851240108882,0.003734730154075985
0.003088393038898873,0.00405061010573151
0.003215643808904927,0.004338916918249648
0.0033258665645009744,0.0045923365797159235
0.0034154597269312756,0.004804063740514737
0.0034810812710060484,0.004968001927787284
0.0035197679481704207,0.00507896002277654
0.0035290440974347775,0.005132836111540568
0.0035070154083843225,0.005126777786498882
0.0034524438304143774,0.005059307483925546
0.0033648006891115593,0.004930402575470117
0.0032442960674580884,0.004741522518910423
0.0030918836120084696,0.004495579111159691
0.0029092409757524454,0.004196850333591307
0.0026987269348263936,0.0038508427999195917
0.002463316770495479,0.0034641115786157813
0.0022065179383793415,0.003044048350071286
0.0019322685836588404,0.0025986491350058296
0.0016448221971771622,0.0021362716761410784
0.0013486225020183692,0.0016653909960567524
0.0010481732858779044,0.0011943605230072577
0.0007479082425807045,0.0007311856766456856
0.00045206599436934725,0.00028331670449020433
0.0001645753901941009,-0.00014253242437934437
-0.00011104413406605458,-0.0005405323183861467
-0.0003717630459048506,-0.0009058472272146967
-0.000615100187238718,-0.0012346993474137596
-0.0008391580064368849,-0.0015243847472154372
-0.0010426350497458284,-0.0017732404507091607
-0.0012248175486276574,-0.001980566431460397
-0.0013855526631990273,-0.0021465107121019416
-0.001525206141132746,-0.00227192941808087
-0.0016446070750387668,-0.002358235784297512
-0.0017449822734710953,-0.0024072525159099358
-0.0018278825647525948,-0.002421080546380914
-0.0018951031704338528,-0.002401994272231501
-0.0019486002193340836,-0.0023523692443637246
-0.00199040564311862,-0.0022746438161078955
-0.0020225431020509865,-0.002171312146945238
-0.002046948037742383,-0.0020449427427144894
-0.002065395131570627,-0.001898214548368617
-0.002079436165836836,-0.001733961383515361
-0.0020903506033314425,-0.0015552150103353385
-0.002099110375963378,-0.0013652372858396079
-0.0021063596418711005,-0.0011675328028342808
-0.002112409704095963,-0.0009658352510498623
-0.0021172488099470963,-0.0007640633261752875
-0.0021205660827283827,-0.000566245194983313
-0.0021217883821336696,-0.00037641412224616517
-0.0021201285282634232,-0.00019848162787313185
-0.002114643094924321,-3.609799170882736e-05
-0.002104297786264018,0.00010748763647859731
-0.0020880380987690255,0.00022955452987914775
-0.0020648624768334987,0.0003280134146690273
-0.0020338945952841124,0.0004014767303026696
-0.0019944509304996674,0.0004492918756337675
-0.0019460995683688229,0.00047153766636429367
-0.0018887063030461435,0.0004689881358776116
-0.0018224644706710887,0.0004430506049642477
-0.0017479055909992223,0.00039568629612115306
-0.0016658888060393216,0.0003293215710005248
-0.0015775684298401232,0.00024675626605692816
-0.0014843406878035665,0.00015107302732184007
-0.001387772739765326,4.5548739985532395e-05
-0.001289518987948139,-6.643306935103306e-05
-0.0011912310975833648,-0.00018147107208074073
-0.0010944688716087708,-0.00029623827389424186
-0.0010006190773577093,-0.00040757824869206317
-0.0009108286046992901,-0.0005126042341437176
-0.0008259570314973195,-0.0006087974711662308
-0.0007465518298240979,-0.0006940989529946813
-0.0006728471595540997,-0.0007669871743730522
-0.0006047847420772826,-0.0008265338829964941
-0.0005420531371891533,-0.000872430421009172
-0.00048414029026104847,-0.0009049790217208513
-0.00043039366203310536,-0.0009250462052930763
-0.0003800825010998578,-0.0009339788337689222
-0.0003324576410852193,-0.0009334870135936295
-0.00028680540932597486,-0.0009255014171444518
-0.00024249367036505306,-0.0009120152542824716
-0.00019900948305287747,-0.0008949226796240192
-0.0001559890217895944,-0.000875865734231363
-0.00011324101691122208,-0.0008561010866527526
-7.076490694262989e-05,-0.0008363960661639792
-2.876433264635274e-05,-0.0008169610612209775
1.2344120129849421e-05,-0.0007974227087608028
5.1927603073330924e-05,-0.000776839852334645
8.91401184460801e-05,-0.0007537621311908185
0.00012293319374124224,-0.0007263290464460888
0.00015207521513239426,-0.0006924051686013496
0.0001751802896653553,-0.0006497448169143351
0.00019074705697664937,-0.0005961773075233863
0.00019720727681366712,-0.0005298019903309634
0.0001929834363603631,-0.00044918092196252106
0.00017655416498987944,-0.00035351627408995636
0.00014652589179734498,-0.00024279966829369483
0.000101708803249531,-0.00011792186129064706
4.119463226803757e-05,1.926622126993689e-05
-3.5566870976204534e-05,0.00016594637498490322
